fecha,vinasantahelena,gatonegrowine,leydawines,sideral.wines,1865_wines,vinatarapaca
2026-05-15,13221,38974,35975,6676,11078,26132
2026-05-15,13221,38974,35975,6676,11078,26132
2026-05-16,13247,38988,35996,6705,11077,26136
2026-05-16,13247,38998,35995,6707,11074,26132
2026-05-17,13267,39003,36019,6729,11068,26129
2026-05-18,13308,39013,36058,6742,11068,26135
2026-05-19,13332,39017,36093,6749,11079,26137
2026-05-20,13353,39067,36115,6748,11094,26143
2026-05-21,13362,39143,36114,6751,11106,26146
2026-05-22,13367,39211,36115,6750,11127,26147
2026-05-23,13369,39321,36117,6750,11145,26156
2026-05-24,13366,39377,36122,6752,11166,26164
